[初始化加载Dll操作]<FormMain_Shown>b__0,用时148毫秒.     23:06:37
[初始化加载Dll操作]<FormMain_Shown>b__0,用时155毫秒.     23:07:29
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时7毫秒.     23:07:35
[初始化加载Dll操作]<FormMain_Shown>b__0,用时127毫秒.     23:08:01
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时9398毫秒.     23:08:12
[初始化加载Dll操作]<FormMain_Shown>b__0,用时161毫秒.     23:08:37
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时7毫秒.     23:08:37
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时1毫秒.     23:08:38
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时2毫秒.     23:08:39
[FormMain操作]<glvi_ItemClickEventArges>b__5,用时16毫秒.     23:08:40
[初始化加载Dll操作]<FormMain_Shown>b__0,用时131毫秒.     23:09:05
[初始化加载Dll操作]<FormMain_Shown>b__0,用时1248毫秒.     23:09:41
[初始化加载Dll操作]<FormMain_Shown>b__0,用时116毫秒.     23:10:21
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时5毫秒.     23:10:32
[FormMain操作]<glvi_ItemClickEventArges>b__5,用时14毫秒.     23:10:33
[初始化加载Dll操作]<FormMain_Shown>b__0,用时134毫秒.     23:11:03
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时5毫秒.     23:11:21
[FormMain操作]<glvi_ItemClickEventArges>b__5,用时15毫秒.     23:11:22
[初始化加载Dll操作]<FormMain_Shown>b__0,用时12012毫秒.     23:11:53
[初始化加载Dll操作]<FormMain_Shown>b__0,用时134毫秒.     23:17:59
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时8毫秒.     23:18:00
[FormMain操作]<glvi_ItemClickEventArges>b__5,用时16毫秒.     23:18:01
[初始化加载Dll操作]<FormMain_Shown>b__0,用时195毫秒.     23:18:49
[FormMain操作]<glvi_ItemWorkStatusChangeClickEventArges>b__2,用时8毫秒.     23:18:50
[FormMain操作]<glvi_ItemClickEventArges>b__5,用时15毫秒.     23:18:52
